Asset 1,Asset 2
100.0,100.0
100.0269102156592,100.0269102156592
100.36765083925981,100.36765083925981
101.04702919995617,101.04702919995617
101.1822301598484,101.1822301598484
101.10410300435015,101.10410300435015
101.88362438613238,101.88362438613238
101.51734363925473,101.51734363925473
101.19904157046477,101.19904157046477
100.22743083320589,100.22743083320589
99.60520656186145,99.60520656186145
100.13478479453353,100.13478479453353
99.41087434017338,99.41087434017338
99.21634934050867,99.21634934050867
99.70982635021971,99.70982635021971
99.59030564246252,99.59030564246252
99.82490469909071,99.82490469909071
99.12812628024876,99.12812628024876
99.20169196706905,99.20169196706905
100.00687018435991,100.00687018435991
100.07485229909109,100.07485229909109
100.096135749401,100.096135749401
101.80604838460984,100.13437570458089
101.4881781018133,99.82172490604856
101.74144516299981,100.0708332788894
102.14743818778346,100.4701598289539
102.3266327928779,100.64641202806658
103.02049906435758,101.3288848970124
102.31627217419523,100.63622153250994
101.69060603030331,100.02082893342364
102.52763170223234,100.84411050104406
102.68140917218233,100.9953629187069
103.45812420856122,101.75932416170038
103.37527130777356,101.67783171967628
104.31654854869855,102.60365302774703
104.15992565134952,102.4496019050884
104.54076603968666,102.82418882928724
105.34533209568798,103.61554377341027
105.67801183731842,103.94276085693633
106.0757763349314,104.33399399364988
105.79808065124072,104.06085812045332
106.2423163194249,104.49779936319047
106.60345412365027,104.85300722306941
105.32663303872711,103.59715175815428
104.72129411479543,103.00175260260916
106.15458639568118,104.41150997975912
105.74786719729562,104.01146917998712
104.46011409033046,102.74486119869665
104.60982088732598,102.89210978454928
104.31439271973811,102.60153259786583
104.19308296823365,102.48221477317348
104.10905905896719,102.39957055082954
104.91158375151612,103.18891765103626
104.0974540203723,102.38815606894791
103.43559198919843,101.73716192522295
102.3461510678399,100.66560980962437
101.62222824680236,99.95357392479131
101.46940566313262,99.8032607140131
100.04188733776998,98.39918248305167
99.51580459938904,97.88173811297145
98.90787104305312,97.28378692932876
97.79664411427662,96.19080653627014
98.01562426729546,96.40619099782391
97.64098725775165,96.03770559188047
98.35585112108886,96.74083126864387
99.24461647523198,99.95630003690923
99.01557169261535,99.72561277319421
99.29313911081873,100.00517062851961
100.52766644995384,101.24855076838999
100.98305365809354,101.70720356011238
101.09945906679403,101.82444371248768
100.20093574658588,100.91947707777557
100.66757358134417,101.38946117440729
99.63126259992713,100.34571880258888
100.43505027825371,101.15527044573352
100.76420352279308,101.48678404957226
100.6947940671074,101.41687685838826
100.5951174822178,101.31648549228969
100.53275972561688,101.25368056795422
99.87849028226678,100.59471935567723
